dataset,sample,observations,estimate_z,se_z,p_value_z
script_sharp,all_communes,34789,-0.019624962956541793,0.002776755151962329,1.8770115353559547e-12
script_sharp,exclude_split_or_missing_canton,34475,-0.019600123906159984,0.002789010663272408,2.5312425396138628e-12
script_sharp_noEpicenter,all_communes,34789,-0.022692539307898073,0.00254310821809513,7.00011805851771e-19
script_sharp_noEpicenter,exclude_split_or_missing_canton,34475,-0.0226875725210392,0.0025550818958035956,1.070883390384523e-18
