"...1","codecommune","reg","dep","nom","educNoDiplomaPerK1968","educNoDiplomaPerK1975","educNoDiplomaPerK1982","educNoDiplomaPerK1990","educNoDiplomaPerK1999","educNoDiplomaPerK2009","educNoDiplomaPerK2020","educCEPPerK1968","educCEPPerK1975","educCEPPerK1982","educCEPPerK1990","educCEPPerK1999","educCEPPerK2009","educCEPPerK2020","educBEPCPerK1968","educBEPCPerK1975","educBEPCPerK1982","educBEPCPerK1990","educBEPCPerK1999","educBEPCPerK2009","educBEPCPerK2020","educCAPBEPPerK1968","educCAPBEPPerK1975","educCAPBEPPerK1982","educCAPBEPPerK1990","educCAPBEPPerK1999","educCAPBEPPerK2009","educCAPBEPPerK2020","educBACPerK1968","educBACPerK1975","educBACPerK1982","educBACPerK1990","educBACPerK1999","educBACPerK2009","educBACPerK2020","educSUPPerK1968","educSUPPerK1975","educSUPPerK1982","educSUPPerK1990","educSUPPerK1999","educSUPPerK2009","educSUPPerK2020",".audit_education_name_key","zrr_nom",".audit_zrr_name_key",".audit_name_matches_zrr",".audit_row_id",".audit_nonzero_coverage",".audit_observed_coverage",".audit_selected"
6898,"2B319",94,"2B","Talasani",0.514469453376206,0.549828178694158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"talasani","Talasani","talasani",1,6899,2,28,FALSE
6899,"2B320",94,"2B","Tallone",1.08771929824561,0.51219512195122,0,0,0,0,0,0,0.0731707317073171,0,0,0,0,0,0.0350877192982456,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tallone","Tallone","tallone",1,6900,3,28,FALSE
6900,"2B321",94,"2B","Tarrano",0.377358490566038,0.754716981132076,0,0,0,0,0,0.125786163522013,0,0,0,0,0,0,0.125786163522013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tarrano","Tarrano","tarrano",1,6901,2,28,FALSE
6901,"2A322",94,"2A","Tasso",0.625,0.49079754601227,0,0,0,0,0,0.104166666666667,0.736196319018405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tasso","Tasso","tasso",1,6902,2,28,FALSE
6902,"2A323",94,"2A","Tavaco",0.333333333333333,0.540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27027027027027,0,0,0,0,0,"tavaco","Tavaco","tavaco",1,6903,3,28,FALSE
6903,"2A324",94,"2A","Tavera",0.40920716112532,0.864197530864197,0,0,0,0,0,0.40920716112532,0.0617283950617284,0,0,0,0,0,0.10230179028133,0.0617283950617284,0,0,0,0,0,0,0,0,0,0,0,0,0.10230179028133,0.0617283950617284,0,0,0,0,0,0.051150895140665,0,0,0,0,0,0,"tavera","Tavera","tavera",1,6904,5,28,FALSE
6904,"2A326",94,"2A","Tolla",0.0611620795107034,0.0892857142857143,0,0,0,0,0,0,0.803571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tolla","Tolla","tolla",1,6905,2,28,FALSE
6905,"2B327",94,"2B","Tomino",0.584795321637427,0.105820105820106,0,0,0,0,0,0.116959064327485,0.211640211640212,0,0,0,0,0,0,0.105820105820106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105820105820106,0,0,0,0,0,0,0.211640211640212,0,0,0,0,0,"tomino","Tomino","tomino",1,6906,4,28,FALSE
6906,"2B328",94,"2B","Tox",0.104166666666667,0.526315789473684,0,0,0,0,0,0.520833333333333,0.31578947368421,0,0,0,0,0,0,0.210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tox","Tox","tox",1,6907,2,28,FALSE
6907,"2B329",94,"2B","Tralonca",0.165289256198347,0.212765957446809,0,0,0,0,0,0,0.212765957446809,0,0,0,0,0,0,0.425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tralonca","Tralonca","tralonca",1,6908,2,28,FALSE
6908,"2A330",94,"2A","Ucciani",0.326086956521739,0.407124681933842,0,0,0,0,0,0.434782608695652,0.356234096692112,0,0,0,0,0,0.144927536231884,0.305343511450382,0,0,0,0,0,0,0,0,0,0,0,0,0.108695652173913,0.0508905852417303,0,0,0,0,0,0,0,0,0,0,0,0,"ucciani","Ucciani","ucciani",1,6909,4,28,FALSE
6909,"2A331",94,"2A","Urbalacone",0.410958904109589,0.769230769230769,0,0,0,0,0,0.136986301369863,0,0,0,0,0,0,0.136986301369863,0.576923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"urbalacone","Urbalacone","urbalacone",1,6910,2,28,FALSE
6910,"2B332",94,"2B","Urtaca",0.206896551724138,0.0784313725490196,0,0,0,0,0,0.413793103448276,0.156862745098039,0,0,0,0,0,0,0.0784313725490196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784313725490196,0,0,0,0,0,0,0.0784313725490196,0,0,0,0,0,"urtaca","Urtaca","urtaca",1,6911,4,28,FALSE
6911,"2B333",94,"2B","Vallecalle",0.816326530612245,0.37037037037037,0,0,0,0,0,0,0.123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037037037,0,0,0,0,0,0,0,0,0,0,0,0,"vallecalle","Vallecalle","vallecalle",1,6912,3,28,FALSE
6912,"2B334",94,"2B","Valle-D'alesani",0.60790273556231,0.218978102189781,0,0,0,0,0,0.182370820668693,0.364963503649635,0,0,0,0,0,0.060790273556231,0.072992700729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"valledalesani","Valle-d'Alesani","valledalesani",1,6913,2,28,FALSE
6913,"2B335",94,"2B","Valle-Di-Campoloro",0.208333333333333,0.19047619047619,0,0,0,0,0,0.104166666666667,0.285714285714286,0,0,0,0,0,0.104166666666667,0,0,0,0,0,0,0,0.0952380952380952,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0.208333333333333,0,0,0,0,0,0,"valledicampoloro","Valle-di-Campoloro","valledicampoloro",1,6914,5,28,FALSE
6914,"2A336",94,"2A","Valle-Di-Mezzana",0.25,0.566037735849057,0,0,0,0,0,0.125,0.188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"valledimezzana","Valle-di-Mezzana","valledimezzana",1,6915,3,28,FALSE
6915,"2B337",94,"2B","Valle-Di-Rostino",0.581395348837209,0.810810810810811,0,0,0,0,0,0.465116279069767,0.135135135135135,0,0,0,0,0,0,0.27027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"valledirostino","Valle-di-Rostino","valledirostino",1,6916,2,28,FALSE
6916,"2B338",94,"2B","Valle-D'orezza",0.666666666666667,0.21978021978022,0,0,0,0,0,0.166666666666667,0.21978021978022,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,"valledorezza","Valle-d'Orezza","valledorezza",1,6917,3,28,FALSE
6917,"2B339",94,"2B","Vallica",0.459770114942529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"vallica","Vallica","vallica",1,6918,1,28,FALSE
6918,"2B340",94,"2B","Velone-Orneto",0.0854700854700855,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"veloneorneto","Velone-Orneto","veloneorneto",1,6919,2,28,FALSE
6919,"2B341",94,"2B","Venaco",0.428449014567266,0.369565217391304,0,0,0,0,0,0.205655526992288,0.304347826086956,0,0,0,0,0,0.0685518423307626,0.130434782608696,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0.051413881748072,0.0869565217391304,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,"venaco","Venaco","venaco",1,6920,6,28,FALSE
6920,"2B342",94,"2B","Ventiseri",0.208092485549133,0.194292653309047,0,0,0,0,0,0.196531791907514,0.182149362477231,0,0,0,0,0,0.104046242774567,0.0971463266545234,0,0,0,0,0,0.069364161849711,0.0971463266545234,0,0,0,0,0,0.0578034682080925,0.0607164541590771,0,0,0,0,0,0,0.0121432908318154,0,0,0,0,0,"ventiseri","Ventiseri","ventiseri",1,6921,7,28,FALSE
6921,"2B343",94,"2B","Venzolasca",0.176056338028169,0.31959629941127,0,0,0,0,0,0.404929577464789,0.151387720773759,0,0,0,0,0,0.0528169014084507,0.0336417157275021,0,0,0,0,0,0,0.0336417157275021,0,0,0,0,0,0,0.0336417157275021,0,0,0,0,0,0,0,0,0,0,0,0,"venzolasca","Venzolasca","venzolasca",1,6922,4,28,FALSE
