codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
14133,0,TRUE,NA,NA,FALSE,missing_canton_14133
14199,0,TRUE,NA,NA,FALSE,missing_canton_14199
14233,0,TRUE,NA,NA,FALSE,missing_canton_14233
14234,0,TRUE,NA,NA,FALSE,missing_canton_14234
14247,0,TRUE,NA,NA,FALSE,missing_canton_14247
14258,3,FALSE,1417|1418|1498,1417,TRUE,split_14258
14262,0,TRUE,NA,NA,FALSE,missing_canton_14262
14263,0,TRUE,NA,NA,FALSE,missing_canton_14263
14267,0,TRUE,NA,NA,FALSE,missing_canton_14267
14295,0,TRUE,NA,NA,FALSE,missing_canton_14295
14314,0,TRUE,NA,NA,FALSE,missing_canton_14314
14315,0,TRUE,NA,NA,FALSE,missing_canton_14315
14321,0,TRUE,NA,NA,FALSE,missing_canton_14321
14323,0,TRUE,NA,NA,FALSE,missing_canton_14323
14327,3,FALSE,1441|1442|1493,1441,TRUE,split_14327
14340,0,TRUE,NA,NA,FALSE,missing_canton_14340
14351,0,TRUE,NA,NA,FALSE,missing_canton_14351
14363,0,TRUE,NA,NA,FALSE,missing_canton_14363
14366,4,FALSE,1421|1422|1449|1499,1421,TRUE,split_14366
1438,0,TRUE,NA,NA,FALSE,missing_canton_1438
14392,0,TRUE,NA,NA,FALSE,missing_canton_14392
1440,0,TRUE,NA,NA,FALSE,missing_canton_1440
14428,0,TRUE,NA,NA,FALSE,missing_canton_14428
14434,0,TRUE,NA,NA,FALSE,missing_canton_14434
14447,0,TRUE,NA,NA,FALSE,missing_canton_14447
14451,0,TRUE,NA,NA,FALSE,missing_canton_14451
14463,0,TRUE,NA,NA,FALSE,missing_canton_14463
14464,0,TRUE,NA,NA,FALSE,missing_canton_14464
14470,0,TRUE,NA,NA,FALSE,missing_canton_14470
14472,0,TRUE,NA,NA,FALSE,missing_canton_14472
14479,0,TRUE,NA,NA,FALSE,missing_canton_14479
14482,0,TRUE,NA,NA,FALSE,missing_canton_14482
14485,0,TRUE,NA,NA,FALSE,missing_canton_14485
14490,0,TRUE,NA,NA,FALSE,missing_canton_14490
14507,0,TRUE,NA,NA,FALSE,missing_canton_14507
14526,0,TRUE,NA,NA,FALSE,missing_canton_14526
14537,0,TRUE,NA,NA,FALSE,missing_canton_14537
1455,0,TRUE,NA,NA,FALSE,missing_canton_1455
14560,0,TRUE,NA,NA,FALSE,missing_canton_14560
14561,0,TRUE,NA,NA,FALSE,missing_canton_14561
14567,0,TRUE,NA,NA,FALSE,missing_canton_14567
1458,0,TRUE,NA,NA,FALSE,missing_canton_1458
1459,0,TRUE,NA,NA,FALSE,missing_canton_1459
14594,0,TRUE,NA,NA,FALSE,missing_canton_14594
14612,0,TRUE,NA,NA,FALSE,missing_canton_14612
14617,0,TRUE,NA,NA,FALSE,missing_canton_14617
14624,0,TRUE,NA,NA,FALSE,missing_canton_14624
14631,0,TRUE,NA,NA,FALSE,missing_canton_14631
