sample,observations,communes_excluded_by_history_flag,estimate,standard_error,p_value
Full audited sample,19212,0,-0.006716998021499576,0.001483732155129406,6.016091589275567e-6
Exclude official-history flags,19165,1860,-0.006716384715462185,0.0014857479159548952,6.205310608132752e-6
